benchmark,smt,event,duration,result
GUAVA-260_1,smt-18,update,0,
GUAVA-260_1,smt-92,check,0,false
FASTJSON-39_1,smt-4,check,0,false
GUAVA-260_1,smt-92,solve,10,SAT
GUAVA-260_1,smt-420,check,0,false
SPOON-151_1,smt-361,solve,35,UNSAT
SPOON-151_1,smt-361,update,0,
GUAVA-260_1,smt-420,solve,15,SAT
SPOON-151_1,smt-730,check,0,true
FASTJSON-39_1,smt-4,solve,35,UNSAT
FASTJSON-39_1,smt-4,update,0,
GUAVA-260_1,smt-100,check,0,false
FASTJSON-39_1,smt-24,check,0,false
SPOON-151_1,smt-622,check,1,true
FASTJSON-39_1,smt-24,solve,5,SAT
GUAVA-174_1,smt-37,solve,121,UNSAT
GUAVA-174_1,smt-37,update,0,
GUAVA-260_1,smt-100,solve,13,SAT
FASTJSON-39_1,smt-36,check,0,false
SPOON-151_1,smt-935,check,0,false
GUAVA-260_1,smt-230,check,0,false
GUAVA-174_1,smt-1,check,0,false
FASTJSON-39_1,smt-36,solve,7,SAT
GUAVA-174_1,smt-1,solve,8,UNSAT
GUAVA-174_1,smt-1,update,0,
FASTJSON-39_1,smt-38,check,0,false
GUAVA-174_1,smt-142,check,0,false
GUAVA-260_1,smt-230,solve,12,UNSAT
GUAVA-260_1,smt-230,update,0,
GUAVA-260_1,smt-465,check,0,false
GUAVA-174_1,smt-142,solve,6,SAT
GUAVA-174_1,smt-162,check,0,false
GUAVA-260_1,smt-465,solve,15,UNSAT
GUAVA-260_1,smt-465,update,1,
GUAVA-260_1,smt-174,check,0,false
GUAVA-260_1,smt-174,solve,7,UNSAT
GUAVA-260_1,smt-174,update,0,
GUAVA-260_1,smt-329,check,1,false
GUAVA-260_1,smt-329,solve,8,SAT
GUAVA-260_1,smt-439,check,0,false
GUAVA-174_1,smt-162,solve,100,UNSAT
GUAVA-174_1,smt-162,update,0,
GUAVA-260_1,smt-439,solve,17,SAT
GUAVA-260_1,smt-59,check,0,false
GUAVA-174_1,smt-87,check,0,false
SPOON-151_1,smt-935,solve,254,UNSAT
SPOON-151_1,smt-935,update,0,
GUAVA-174_1,smt-87,solve,4,SAT
GUAVA-260_1,smt-59,solve,6,UNSAT
GUAVA-260_1,smt-59,update,0,
GUAVA-174_1,smt-158,check,0,false
GUAVA-260_1,smt-141,check,0,false
SPOON-151_1,smt-271,check,0,true
SPOON-151_1,smt-731,check,1,false
GUAVA-260_1,smt-141,solve,8,UNSAT
GUAVA-260_1,smt-141,update,2,
GUAVA-260_1,smt-42,check,0,false
GUAVA-174_1,smt-158,solve,21,UNSAT
GUAVA-174_1,smt-158,update,0,
GUAVA-260_1,smt-42,solve,52,SAT
GUAVA-260_1,smt-82,check,0,false
GUAVA-260_1,smt-82,solve,6,SAT
GUAVA-260_1,smt-370,check,0,false
GUAVA-260_1,smt-370,solve,14,UNSAT
GUAVA-260_1,smt-370,update,0,
GUAVA-260_1,smt-4,check,0,false
GUAVA-260_1,smt-4,solve,3,SAT
GUAVA-260_1,smt-319,check,0,false
SPOON-151_1,smt-731,solve,79,UNSAT
SPOON-151_1,smt-731,update,0,
GUAVA-260_1,smt-319,solve,10,SAT
GUAVA-260_1,smt-171,check,1,false
SPOON-151_1,smt-1081,check,2,false
GUAVA-174_1,smt-237,check,20,false
GUAVA-260_1,smt-171,solve,13,SAT
GUAVA-260_1,smt-234,check,0,false
GUAVA-260_1,smt-234,solve,8,SAT
GUAVA-260_1,smt-66,check,0,false
GUAVA-260_1,smt-66,solve,23,SAT
GUAVA-260_1,smt-120,check,0,false
FASTJSON-39_1,smt-38,solve,891,SAT
GUAVA-260_1,smt-120,solve,8,SAT
GUAVA-260_1,smt-121,check,0,false
GUAVA-260_1,smt-121,solve,11,SAT
FASTJSON-39_1,smt-25,check,0,false
GUAVA-260_1,smt-360,check,0,false
GUAVA-260_1,smt-360,solve,6,UNSAT
GUAVA-260_1,smt-360,update,0,
GUAVA-260_1,smt-353,check,0,false
GUAVA-260_1,smt-353,solve,10,SAT
GUAVA-260_1,smt-256,check,0,false
GUAVA-260_1,smt-256,solve,8,UNSAT
GUAVA-260_1,smt-256,update,0,
GUAVA-260_1,smt-268,check,0,false
FASTJSON-39_1,smt-25,solve,101,UNSAT
FASTJSON-39_1,smt-25,update,0,
FASTJSON-39_1,smt-32,check,0,false
GUAVA-260_1,smt-268,solve,35,SAT
SPOON-151_1,smt-1081,solve,235,UNSAT
SPOON-151_1,smt-1081,update,0,
GUAVA-260_1,smt-85,check,0,false
GUAVA-260_1,smt-85,solve,10,SAT
GUAVA-260_1,smt-426,check,0,false
SPOON-151_1,smt-1001,check,0,false
GUAVA-260_1,smt-426,solve,12,UNSAT
GUAVA-260_1,smt-426,update,0,
GUAVA-260_1,smt-458,check,0,false
GUAVA-78_1,smt-162,solve,2694,UNSAT
GUAVA-78_1,smt-162,update,0,
GUAVA-260_1,smt-458,solve,16,UNSAT
GUAVA-260_1,smt-458,update,0,
GUAVA-260_1,smt-331,check,0,false
GUAVA-260_1,smt-331,solve,17,SAT
GUAVA-260_1,smt-289,check,0,false
GUAVA-260_1,smt-289,solve,10,UNSAT
GUAVA-260_1,smt-289,update,0,
SPOON-151_1,smt-1001,solve,88,UNSAT
SPOON-151_1,smt-1001,update,0,
GUAVA-260_1,smt-363,check,0,false
SPOON-151_1,smt-517,check,0,false
GUAVA-260_1,smt-363,solve,10,SAT
GUAVA-260_1,smt-104,check,0,false
GUAVA-260_1,smt-104,solve,5,SAT
GUAVA-260_1,smt-218,check,0,false
GUAVA-78_1,smt-87,check,0,false
GUAVA-260_1,smt-218,solve,18,SAT
GUAVA-260_1,smt-183,check,0,false
